Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,60.000000,5.000000,0.000000,3.000000,1,0,4,0,0,0
0.000000,0.000000,60.000000,5.000000,0.000000,3.000000,1,0,4,0,0,0
0.001000,0.001000,60.000000,5.000001,0.001500,5.000000,1,0,4,0,0,0
0.002000,0.002000,60.000000,5.000003,0.003000,5.000000,1,0,4,0,0,0
0.003000,0.003000,59.999996,5.000006,0.004500,5.000000,1,0,4,0,0,0
0.004000,0.004000,59.999992,5.000010,0.006000,5.000000,1,0,4,0,0,0
0.005000,0.005000,59.999985,5.000014,0.007500,5.000000,1,0,4,0,0,0
0.006000,0.006000,59.999981,5.000022,0.009000,5.000000,1,0,4,0,0,0
0.007000,0.007000,59.999973,5.000030,0.010500,5.000000,1,0,4,0,0,0
0.008000,0.008000,59.999966,5.000040,0.012000,5.000000,1,0,4,0,0,0
0.009000,0.009000,59.999954,5.000049,0.013500,5.000000,1,0,4,0,0,0
0.010000,0.010000,59.999947,5.000061,0.015000,5.000000,1,0,4,0,0,0
0.011000,0.011000,59.999935,5.000071,0.016500,5.000000,1,0,4,0,0,0
0.012000,0.012000,59.999924,5.000085,0.018000,5.000000,1,0,4,0,0,0
0.013000,0.013000,59.999912,5.000101,0.019500,5.000000,1,0,4,0,0,0
0.014000,0.014000,59.999901,5.000119,0.021000,5.000000,1,0,4,0,0,0
0.015000,0.015000,59.999889,5.000137,0.022500,5.000000,1,0,4,0,0,0
0.016000,0.016000,59.999874,5.000155,0.024000,5.000000,1,0,4,0,0,0
0.017000,0.017000,59.999855,5.000172,0.025500,5.000000,1,0,4,0,0,0
0.018000,0.018000,59.999832,5.000189,0.027000,5.000000,1,0,4,0,0,0
0.019000,0.019000,59.999817,5.000213,0.028500,5.000000,1,0,4,0,0,0
0.020000,0.020000,59.999794,5.000233,0.030000,5.000000,1,0,4,0,0,0
0.021000,0.021000,59.999775,5.000258,0.031500,5.000000,1,0,4,0,0,0
0.022000,0.022000,59.999756,5.000286,0.033000,5.000000,1,0,4,0,0,0
0.023000,0.023000,59.999729,5.000308,0.034500,5.000000,1,0,4,0,0,0
0.024000,0.024000,59.999706,5.000336,0.036000,5.000000,1,0,4,0,0,0
0.025000,0.025000,59.999683,5.000366,0.037500,5.000000,1,0,4,0,0,0
0.026000,0.026000,59.999657,5.000395,0.039000,5.000000,1,0,4,0,0,0
0.027000,0.027000,59.999622,5.000415,0.040500,5.000000,1,0,4,0,0,0
0.028000,0.028000,59.999584,5.000436,0.042000,5.000000,1,0,4,0,0,0
0.029000,0.029000,59.999554,5.000467,0.043500,5.000000,1,0,4,0,0,0
0.030000,0.030000,59.999527,5.000504,0.045000,5.000000,1,0,4,0,0,0
0.031000,0.031000,59.999493,5.000534,0.046500,5.000000,1,0,4,0,0,0
0.032000,0.032000,59.999458,5.000569,0.048000,5.000000,1,0,4,0,0,0
0.033000,0.033000,59.999424,5.000603,0.049500,5.000000,1,0,4,0,0,0
0.034000,0.034000,59.999382,5.000635,0.051000,5.000000,1,0,4,0,0,0
