Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,76.000000,11.000000,0.000000,5.000000,1,0,4,0,1,0
0.000000,0.000000,76.000000,11.000000,0.000000,5.000000,1,0,4,0,1,0
0.001000,0.001000,76.000000,11.000001,0.001500,5.000000,1,0,4,0,1,0
0.002000,0.002000,76.000000,11.000003,0.003000,5.000000,1,0,4,0,1,0
0.003000,0.003000,76.000000,11.000006,0.004500,5.000000,1,0,4,0,1,0
0.004000,0.004000,75.999992,11.000009,0.006000,5.000000,1,0,4,0,1,0
0.005000,0.005000,75.999985,11.000012,0.007500,5.000000,1,0,4,0,1,0
0.006000,0.006000,75.999977,11.000019,0.009000,5.000000,1,0,4,0,1,0
0.007000,0.007000,75.999969,11.000028,0.010500,5.000000,1,0,4,0,1,0
0.008000,0.008000,75.999962,11.000033,0.012000,5.000000,1,0,4,0,1,0
0.009000,0.009000,75.999954,11.000042,0.013500,5.000000,1,0,4,0,1,0
0.010000,0.010000,75.999939,11.000051,0.015000,5.000000,1,0,4,0,1,0
0.011000,0.011000,75.999924,11.000060,0.016500,5.000000,1,0,4,0,1,0
0.012000,0.012000,75.999908,11.000071,0.018000,5.000000,1,0,4,0,1,0
0.013000,0.013000,75.999893,11.000087,0.019500,5.000000,1,0,4,0,1,0
0.014000,0.014000,75.999878,11.000099,0.021000,5.000000,1,0,4,0,1,0
0.015000,0.015000,75.999855,11.000111,0.022500,5.000000,1,0,4,0,1,0
0.016000,0.016000,75.999840,11.000130,0.024000,5.000000,1,0,4,0,1,0
0.017000,0.017000,75.999825,11.000151,0.025500,5.000000,1,0,4,0,1,0
0.018000,0.018000,75.999802,11.000167,0.027000,5.000000,1,0,4,0,1,0
0.019000,0.019000,75.999786,11.000191,0.028500,5.000000,1,0,4,0,1,0
0.020000,0.020000,75.999763,11.000206,0.030000,5.000000,1,0,4,0,1,0
0.021000,0.021000,75.999748,11.000233,0.031500,5.000000,1,0,4,0,1,0
0.022000,0.022000,75.999725,11.000255,0.033000,5.000000,1,0,4,0,1,0
0.023000,0.023000,75.999702,11.000278,0.034500,5.000000,1,0,4,0,1,0
0.024000,0.024000,75.999680,11.000307,0.036000,5.000000,1,0,4,0,1,0
0.025000,0.025000,75.999657,11.000337,0.037500,5.000000,1,0,4,0,1,0
0.026000,0.026000,75.999634,11.000370,0.039000,5.000000,1,0,4,0,1,0
0.027000,0.027000,75.999603,11.000398,0.040500,5.000000,1,0,4,0,1,0
0.028000,0.028000,75.999565,11.000421,0.042000,5.000000,1,0,4,0,1,0
0.029000,0.029000,75.999527,11.000446,0.043500,5.000000,1,0,4,0,1,0
0.030000,0.030000,75.999489,11.000470,0.045000,5.000000,1,0,4,0,1,0
