Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,69.000000,22.000000,0.000000,3.000000,1,0,3,0,0,0
0.000000,0.000000,69.000000,22.000000,0.000000,3.000000,1,0,3,0,0,0
0.001000,0.001000,69.000000,22.000000,0.001500,5.000000,1,0,3,0,0,0
0.002000,0.002000,69.000000,22.000000,0.003000,5.000000,1,0,3,0,0,0
0.003000,0.003000,69.000000,22.000000,0.004500,5.000000,1,0,3,0,0,0
0.004000,0.004000,69.000000,22.000000,0.006000,5.000000,1,0,3,0,0,0
0.005000,0.005000,68.999992,22.000000,0.007500,5.000000,1,0,3,0,0,0
0.006000,0.006000,68.999985,22.000000,0.009000,5.000000,1,0,3,0,0,0
0.007000,0.007000,68.999977,22.000000,0.010500,5.000000,1,0,3,0,0,0
0.008000,0.008000,68.999969,22.000000,0.012000,5.000000,1,0,3,0,0,0
0.009000,0.009000,68.999962,22.000000,0.013500,5.000000,1,0,3,0,0,0
0.010000,0.010000,68.999947,22.000000,0.015000,5.000000,1,0,3,0,0,0
0.011000,0.011000,68.999939,22.000000,0.016500,5.000000,1,0,3,0,0,0
0.012000,0.012000,68.999924,22.000000,0.018000,5.000000,1,0,3,0,0,0
0.013000,0.013000,68.999908,22.000000,0.019500,5.000000,1,0,3,0,0,0
0.014000,0.014000,68.999901,22.000000,0.021000,5.000000,1,0,3,0,0,0
0.015000,0.015000,68.999886,22.000000,0.022500,5.000000,1,0,3,0,0,0
0.016000,0.016000,68.999870,22.000000,0.024000,5.000000,1,0,3,0,0,0
0.017000,0.017000,68.999855,22.000000,0.025500,5.000000,1,0,3,0,0,0
0.018000,0.018000,68.999840,22.000000,0.027000,5.000000,1,0,3,0,0,0
0.019000,0.019000,68.999817,22.000000,0.028500,5.000000,1,0,3,0,0,0
0.020000,0.020000,68.999802,22.000000,0.030000,5.000000,1,0,3,0,0,0
0.021000,0.021000,68.999786,22.000000,0.031500,5.000000,1,0,3,0,0,0
0.022000,0.022000,68.999763,22.000000,0.033000,5.000000,1,0,3,0,0,0
0.023000,0.023000,68.999733,22.000000,0.034500,5.000000,1,0,3,0,0,0
0.024000,0.024000,68.999702,22.000000,0.036000,5.000000,1,0,3,0,0,0
0.025000,0.025000,68.999672,22.000000,0.037500,5.000000,1,0,3,0,0,0
0.026000,0.026000,68.999649,22.000000,0.039000,5.000000,1,0,3,0,0,0
0.027000,0.027000,68.999611,22.000000,0.040500,5.000000,1,0,3,0,0,0
0.028000,0.028000,68.999588,22.000000,0.042000,5.000000,1,0,3,0,0,0
0.029000,0.029000,68.999550,22.000000,0.043500,5.000000,1,0,3,0,0,0
0.030000,0.030000,68.999519,22.000000,0.045000,5.000000,1,0,3,0,0,0
0.031000,0.031000,68.999481,22.000000,0.046500,5.000000,1,0,3,0,0,0
0.032000,0.032000,68.999451,22.000000,0.048000,5.000000,1,0,3,0,0,0
0.033000,0.033000,68.999420,22.000000,0.049500,5.000000,1,0,3,0,0,0
0.034000,0.034000,68.999390,22.000000,0.051000,5.000000,1,0,3,0,0,0
0.035000,0.035000,68.999344,22.000000,0.052500,5.000000,1,0,3,0,0,0
0.036000,0.036000,68.999313,22.000000,0.054000,5.000000,1,0,3,0,0,0
0.037000,0.037000,68.999275,22.000000,0.055500,5.000000,1,0,3,0,0,0
0.038000,0.038000,68.999245,22.000000,0.057000,5.000000,1,0,3,0,0,0
0.039000,0.039000,68.999207,22.000000,0.058500,5.000000,1,0,3,0,0,0
0.040000,0.040000,68.999161,22.000000,0.060000,5.000000,1,0,3,0,0,0
0.041000,0.041000,68.999115,22.000000,0.061500,5.000000,1,0,3,0,0,0
0.042000,0.042000,68.999062,22.000000,0.063000,5.000000,1,0,3,0,0,0
0.043000,0.043000,68.999008,22.000000,0.064500,5.000000,1,0,3,0,0,0
0.044000,0.044000,68.998955,22.000000,0.066000,5.000000,1,0,3,0,0,0
0.045000,0.045000,68.998901,22.000000,0.067500,5.000000,1,0,3,0,0,0
0.046000,0.046000,68.998840,22.000000,0.069000,5.000000,1,0,3,0,0,0
0.047000,0.047000,68.998802,22.000000,0.070500,5.000000,1,0,3,0,0,0
0.048000,0.048000,68.998741,22.000000,0.072000,5.000000,1,0,3,0,0,0
0.049000,0.049000,68.998680,22.000000,0.073500,5.000000,1,0,3,0,0,0
0.050000,0.050000,68.998634,22.000000,0.075000,5.000000,1,0,3,0,0,0
0.051000,0.051000,68.998573,22.000000,0.076500,5.000000,1,0,3,0,0,0
0.052000,0.052000,68.998505,22.000000,0.078000,5.000000,1,0,3,0,0,0
0.053000,0.053000,68.998459,22.000000,0.079500,5.000000,1,0,3,0,0,0
0.054000,0.054000,68.998413,22.000000,0.081000,5.000000,1,0,3,0,0,0
0.055000,0.055000,68.998344,22.000000,0.082500,5.000000,1,0,3,0,0,0
0.056000,0.056000,68.998283,22.000000,0.084000,5.000000,1,0,3,0,0,0
0.057000,0.057000,68.998215,22.000000,0.085500,5.000000,1,0,3,0,0,0
0.058000,0.058000,68.998146,22.000000,0.087000,5.000000,1,0,3,0,0,0
0.059000,0.059000,68.998070,22.000000,0.088500,5.000000,1,0,3,0,0,0
0.060000,0.060000,68.998009,22.000000,0.090000,5.000000,1,0,3,0,0,0
0.061000,0.061000,68.997932,22.000000,0.091500,5.000000,1,0,3,0,0,0
0.062000,0.062000,68.997864,22.000000,0.093000,5.000000,1,0,3,0,0,0
0.063000,0.063000,68.997795,22.000000,0.094500,5.000000,1,0,3,0,0,0
0.064000,0.064000,68.997726,22.000000,0.096000,5.000000,1,0,3,0,0,0
0.065000,0.065000,68.997650,22.000000,0.097500,5.000000,1,0,3,0,0,0
0.066000,0.066000,68.997581,22.000000,0.099000,5.000000,1,0,3,0,0,0
0.067000,0.067000,68.997498,22.000000,0.100500,5.000000,1,0,3,0,0,0
0.068000,0.068000,68.997444,22.000000,0.102000,5.000000,1,0,3,0,0,0
0.069000,0.069000,68.997360,22.000000,0.103500,5.000000,1,0,3,0,0,0
0.070000,0.070000,68.997276,22.000000,0.105000,5.000000,1,0,3,0,0,0
0.071000,0.071000,68.997223,22.000000,0.106500,5.000000,1,0,3,0,0,0
0.072000,0.072000,68.997139,22.000000,0.108000,5.000000,1,0,3,0,0,0
0.073000,0.073000,68.997047,22.000000,0.109500,5.000000,1,0,3,0,0,0
0.074000,0.074000,68.996956,22.000000,0.111000,5.000000,1,0,3,0,0,0
0.075000,0.075000,68.996864,22.000000,0.112500,5.000000,1,0,3,0,0,0
0.076000,0.076000,68.996803,22.000000,0.114000,5.000000,1,0,3,0,0,0
0.077000,0.077000,68.996712,22.000000,0.115500,5.000000,1,0,3,0,0,0
0.078000,0.078000,68.996613,22.000000,0.117000,5.000000,1,0,3,0,0,0
0.079000,0.079000,68.996536,22.000000,0.118500,5.000000,1,0,3,0,0,0
0.080000,0.080000,68.996468,22.000000,0.120000,5.000000,1,0,3,0,0,0
0.081000,0.081000,68.996368,22.000000,0.121500,5.000000,1,0,3,0,0,0
0.082000,0.082000,68.996269,22.000000,0.123000,5.000000,1,0,3,0,0,0
0.083000,0.083000,68.996193,22.000000,0.124500,5.000000,1,0,3,0,0,0
