Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,78.000000,9.000000,0.000000,3.000000,1,0,4,0,0,0
0.000000,0.000000,78.000000,9.000000,0.000000,3.000000,1,0,4,0,0,0
0.001000,0.001000,78.000000,9.000001,0.001500,5.000000,1,0,4,0,0,0
0.002000,0.002000,78.000000,9.000004,0.003000,5.000000,1,0,4,0,0,0
0.003000,0.003000,78.000000,9.000008,0.004500,5.000000,1,0,4,0,0,0
0.004000,0.004000,78.000000,9.000012,0.006000,5.000000,1,0,4,0,0,0
0.005000,0.005000,77.999992,9.000018,0.007500,5.000000,1,0,4,0,0,0
0.006000,0.006000,77.999985,9.000024,0.009000,5.000000,1,0,4,0,0,0
0.007000,0.007000,77.999977,9.000030,0.010500,5.000000,1,0,4,0,0,0
0.008000,0.008000,77.999969,9.000039,0.012000,5.000000,1,0,4,0,0,0
0.009000,0.009000,77.999954,9.000046,0.013500,5.000000,1,0,4,0,0,0
0.010000,0.010000,77.999947,9.000056,0.015000,5.000000,1,0,4,0,0,0
0.011000,0.011000,77.999931,9.000067,0.016500,5.000000,1,0,4,0,0,0
0.012000,0.012000,77.999924,9.000082,0.018000,5.000000,1,0,4,0,0,0
0.013000,0.013000,77.999908,9.000094,0.019500,5.000000,1,0,4,0,0,0
0.014000,0.014000,77.999893,9.000109,0.021000,5.000000,1,0,4,0,0,0
0.015000,0.015000,77.999878,9.000122,0.022500,5.000000,1,0,4,0,0,0
0.016000,0.016000,77.999855,9.000135,0.024000,5.000000,1,0,4,0,0,0
0.017000,0.017000,77.999832,9.000150,0.025500,5.000000,1,0,4,0,0,0
0.018000,0.018000,77.999817,9.000170,0.027000,5.000000,1,0,4,0,0,0
0.019000,0.019000,77.999802,9.000192,0.028500,5.000000,1,0,4,0,0,0
0.020000,0.020000,77.999786,9.000216,0.030000,5.000000,1,0,4,0,0,0
0.021000,0.021000,77.999763,9.000239,0.031500,5.000000,1,0,4,0,0,0
0.022000,0.022000,77.999741,9.000261,0.033000,5.000000,1,0,4,0,0,0
0.023000,0.023000,77.999725,9.000291,0.034500,5.000000,1,0,4,0,0,0
0.024000,0.024000,77.999702,9.000319,0.036000,5.000000,1,0,4,0,0,0
0.025000,0.025000,77.999672,9.000344,0.037500,5.000000,1,0,4,0,0,0
0.026000,0.026000,77.999641,9.000369,0.039000,5.000000,1,0,4,0,0,0
0.027000,0.027000,77.999619,9.000401,0.040500,5.000000,1,0,4,0,0,0
0.028000,0.028000,77.999596,9.000436,0.042000,5.000000,1,0,4,0,0,0
0.029000,0.029000,77.999565,9.000464,0.043500,5.000000,1,0,4,0,0,0
0.030000,0.030000,77.999542,9.000501,0.045000,5.000000,1,0,4,0,0,0
0.031000,0.031000,77.999519,9.000541,0.046500,5.000000,1,0,4,0,0,0
0.032000,0.032000,77.999481,9.000565,0.048000,5.000000,1,0,4,0,0,0
0.033000,0.033000,77.999458,9.000607,0.049500,5.000000,1,0,4,0,0,0
0.034000,0.034000,77.999428,9.000645,0.051000,5.000000,1,0,4,0,0,0
0.035000,0.035000,77.999382,9.000675,0.052500,5.000000,1,0,4,0,0,0
0.036000,0.036000,77.999352,9.000719,0.054000,5.000000,1,0,4,0,0,0
0.037000,0.037000,77.999306,9.000750,0.055500,5.000000,1,0,4,0,0,0
0.038000,0.038000,77.999275,9.000797,0.057000,5.000000,1,0,4,0,0,0
0.039000,0.039000,77.999229,9.000834,0.058500,5.000000,1,0,4,0,0,0
0.040000,0.040000,77.999191,9.000882,0.060000,5.000000,1,0,4,0,0,0
0.041000,0.041000,77.999146,9.000921,0.061500,5.000000,1,0,4,0,0,0
0.042000,0.042000,77.999092,9.000954,0.063000,5.000000,1,0,4,0,0,0
0.043000,0.043000,77.999054,9.001003,0.064500,5.000000,1,0,4,0,0,0
0.044000,0.044000,77.999008,9.001051,0.066000,5.000000,1,0,4,0,0,0
0.045000,0.045000,77.998955,9.001091,0.067500,5.000000,1,0,4,0,0,0
0.046000,0.046000,77.998901,9.001136,0.069000,5.000000,1,0,4,0,0,0
0.047000,0.047000,77.998848,9.001178,0.070500,5.000000,1,0,4,0,0,0
0.048000,0.048000,77.998802,9.001235,0.072000,5.000000,1,0,4,0,0,0
0.049000,0.049000,77.998741,9.001273,0.073500,5.000000,1,0,4,0,0,0
0.050000,0.050000,77.998680,9.001320,0.075000,5.000000,1,0,4,0,0,0
0.051000,0.051000,77.998627,9.001375,0.076500,5.000000,1,0,4,0,0,0
0.052000,0.052000,77.998573,9.001434,0.078000,5.000000,1,0,4,0,0,0
0.053000,0.053000,77.998505,9.001480,0.079500,5.000000,1,0,4,0,0,0
0.054000,0.054000,77.998436,9.001528,0.081000,5.000000,1,0,4,0,0,0
0.055000,0.055000,77.998390,9.001597,0.082500,5.000000,1,0,4,0,0,0
0.056000,0.056000,77.998337,9.001660,0.084000,5.000000,1,0,4,0,0,0
0.057000,0.057000,77.998268,9.001716,0.085500,5.000000,1,0,4,0,0,0
0.058000,0.058000,77.998222,9.001789,0.087000,5.000000,1,0,4,0,0,0
0.059000,0.059000,77.998154,9.001844,0.088500,5.000000,1,0,4,0,0,0
0.060000,0.060000,77.998077,9.001892,0.090000,5.000000,1,0,4,0,0,0
0.061000,0.061000,77.998016,9.001958,0.091500,5.000000,1,0,4,0,0,0
0.062000,0.062000,77.997940,9.002011,0.093000,5.000000,1,0,4,0,0,0
0.063000,0.063000,77.997871,9.002072,0.094500,5.000000,1,0,4,0,0,0
0.064000,0.064000,77.997803,9.002138,0.096000,5.000000,1,0,4,0,0,0
0.065000,0.065000,77.997719,9.002190,0.097500,5.000000,1,0,4,0,0,0
0.066000,0.066000,77.997635,9.002244,0.099000,5.000000,1,0,4,0,0,0
0.067000,0.067000,77.997559,9.002310,0.100500,5.000000,1,0,4,0,0,0
0.068000,0.068000,77.997498,9.002390,0.102000,5.000000,1,0,4,0,0,0
0.069000,0.069000,77.997437,9.002473,0.103500,5.000000,1,0,4,0,0,0
0.070000,0.070000,77.997353,9.002533,0.105000,5.000000,1,0,4,0,0,0
0.071000,0.071000,77.997284,9.002615,0.106500,5.000000,1,0,4,0,0,0
0.072000,0.072000,77.997215,9.002695,0.108000,5.000000,1,0,4,0,0,0
0.073000,0.073000,77.997154,9.002788,0.109500,5.000000,1,0,4,0,0,0
0.074000,0.074000,77.997086,9.002877,0.111000,5.000000,1,0,4,0,0,0
0.075000,0.075000,77.997002,9.002955,0.112500,5.000000,1,0,4,0,0,0
0.076000,0.076000,77.996918,9.003036,0.114000,5.000000,1,0,4,0,0,0
0.077000,0.077000,77.996849,9.003130,0.115500,5.000000,1,0,4,0,0,0
0.078000,0.078000,77.996758,9.003201,0.117000,5.000000,1,0,4,0,0,0
0.079000,0.079000,77.996658,9.003265,0.118500,5.000000,1,0,4,0,0,0
0.080000,0.080000,77.996567,9.003339,0.120000,5.000000,1,0,4,0,0,0
0.081000,0.081000,77.996498,9.003440,0.121500,5.000000,1,0,4,0,0,0
0.082000,0.082000,77.996399,9.003515,0.123000,5.000000,1,0,4,0,0,0
0.083000,0.083000,77.996330,9.003618,0.124500,5.000000,1,0,4,0,0,0
0.084000,0.084000,77.996231,9.003695,0.126000,5.000000,1,0,4,0,0,0
0.085000,0.085000,77.996147,9.003795,0.127500,5.000000,1,0,4,0,0,0
0.086000,0.086000,77.996040,9.003861,0.129000,5.000000,1,0,4,0,0,0
0.087000,0.087000,77.995956,9.003964,0.130500,5.000000,1,0,4,0,0,0
0.088000,0.088000,77.995888,9.004075,0.132000,5.000000,1,0,4,0,0,0
0.089000,0.089000,77.995789,9.004163,0.133500,5.000000,1,0,4,0,0,0
0.090000,0.090000,77.995705,9.004266,0.135000,5.000000,1,0,4,0,0,0
0.091000,0.091000,77.995590,9.004336,0.136500,5.000000,1,0,4,0,0,0
0.092000,0.092000,77.995483,9.004423,0.138000,5.000000,1,0,4,0,0,0
